Cep,Endereço,Lat,Lng
Nan,Nan,Nan,Nan
58400240,Rua Coronel João Lourenço Porto - Centro - Campina Grande - PB,-7.2201297,-35.8814741
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
58400243,Rua Deputado Álvaro Gaudêncio - Centro - Campina Grande - PB,-7.222184299999999,-35.8802436
Nan,Nan,Nan,Nan
58400245,Rua João da Mata - Centro - Campina Grande - PB,-7.221379000000001,-35.88029050000001
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
58400248,Rua João Tavares - Centro - Campina Grande - PB,-7.2223259,-35.8820395
Nan,Nan,Nan,Nan
58400250,Rua José Bonifácio - Centro - Campina Grande - PB,-7.222254899999999,-35.8811416
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
58400253,Rua Coronel Salvino Figueiredo - Centro - Campina Grande - PB,-7.2231761,-35.8799062
Nan,Nan,Nan,Nan
58400255,Rua Elias Asfora - Centro - Campina Grande - PB,-7.223144899999999,-35.8796961
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
58400258,Rua Doutor Severino Ribeiro Cruz - Centro - Campina Grande - PB,-7.2238639,-35.8792112
Nan,Nan,Nan,Nan
58400260,Rua Desembargador Trindade - Centro - Campina Grande - PB,-7.223779899999999,-35.8840185
58400261,Rua Presidente João Pessoa - Centro - Campina Grande - PB,-7.2164509,-35.8896766
58400262,Praça Coronel Antônio Pessoa - Centro - Campina Grande - PB,-7.223333299999999,-35.8839115
58400263,Rua Vidal de Negreiros - Centro - Campina Grande - PB,-7.221098400000001,-35.8828724
Nan,Nan,Nan,Nan
58400265,Travessa Almirante Alexandrino - Centro - Campina Grande - PB,-7.222715999999999,-35.88261
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
58400268,Rua Major Manoel Jovino do Ó - Centro - Campina Grande - PB,-7.221316,-35.8836951
Nan,Nan,Nan,Nan
58400270,Rua Irineu Joffily - Centro - Campina Grande - PB,-7.221219499999999,-35.8844759
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
58400273,Rua Miguel Couto - Centro - Campina Grande - PB,-7.2255441,-35.8844957
Nan,Nan,Nan,Nan
58400275,Rua Otacílio de Albuquerque - Centro - Campina Grande - PB,-7.2256285,-35.8854312
Nan,Nan,Nan,Nan
58400277,Rua Desembargador Trindade - Centro - Campina Grande - PB,-7.223779899999999,-35.8840185
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
58400280,Rua Solon de Lucena - Centro - Campina Grande - PB,-7.2229718,-35.8853762
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
58400283,Rua Tiradentes - Centro - Campina Grande - PB,-7.222296799999999,-35.8859775
Nan,Nan,Nan,Nan
58400285,Travessa Tiradentes - Centro - Campina Grande - PB,-7.222296799999999,-35.8859775
Nan,Nan,Nan,Nan
58400287,Rua Afonso Pena - Centro - Campina Grande - PB,-7.2213575,-35.8850893
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
58400290,Rua Treze de Maio - Centro - Campina Grande - PB,-7.221047899999999,-35.8856038
Nan,Nan,Nan,Nan
58400292,Praça Clementino Procópio - Centro - Campina Grande - PB,-7.219654999999999,-35.88402
58400293,Largo Prefeito Severino Procópio - Centro - Campina Grande - PB,-7.2195665,-35.8833028
Nan,Nan,Nan,Nan
58400295,Rua Frei Caneca - Centro - Campina Grande - PB,-7.223439399999999,-35.8865472
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
58400299,Travessa Presidente Epitácio Pessoa - Centro - Campina Grande - PB,-7.215120999999999,-35.8873523
58400300,Rua Sebastião Donato - Centro - Campina Grande - PB,-7.2236826,-35.887234
Nan,Nan,Nan,Nan
58400302,Praça Williams Arruda - Centro - Campina Grande - PB,-7.2263764,-35.9290605
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
58400310,Rua Paulo de Frontin - Centro - Campina Grande - PB,-7.2264912,-35.8791638
Nan,Nan,Nan,Nan
58400312,Rua João Florentino de Carvalho - Centro - Campina Grande - PB,-7.2220339,-35.8757027
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
58400320,Rua Sebastião Donato - São José - Campina Grande - PB,-7.2240382,-35.8870156
Nan,Nan,Nan,Nan
58400322,Rua Frei Caneca - São José - Campina Grande - PB,-7.223439399999999,-35.8865472
Nan,Nan,Nan,Nan
58400324,Rua Otacílio de Albuquerque - São José - Campina Grande - PB,-7.2256285,-35.8854312
Nan,Nan,Nan,Nan
58400326,Rua Miguel Couto - São José - Campina Grande - PB,-7.225597899999999,-35.8845532
Nan,Nan,Nan,Nan
58400328,Avenida Professor Almeida Barreto - São José - Campina Grande - PB,-7.2287159,-35.8910705
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
58400335,Rua Capitão José Amâncio Barbosa - São José - Campina Grande - PB,-7.2261724,-35.8869196
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
58400342,Rua Major Belmiro - São José - Campina Grande - PB,-7.226068100000001,-35.8878381
Nan,Nan,Nan,Nan
58400344,Rua Doutor João Moura - São José - Campina Grande - PB,-7.2251908,-35.8882079
Nan,Nan,Nan,Nan
58400346,Rua Olegário Azevedo - São José - Campina Grande - PB,-7.224712299999998,-35.88823980000001
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
58400350,Rua Desembargador Trindade - São José - Campina Grande - PB,-7.223439,-35.8864473
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
58400355,Parque do Povo - São José - Campina Grande - PB,-7.223744900000001,-35.887581
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
58400358,Rua Paulino Raposo - São José - Campina Grande - PB,-7.223615400000001,-35.8886684
Nan,Nan,Nan,Nan
58400360,Rua Lino Gomes da Silva - São José - Campina Grande - PB,-7.2232328,-35.8896816
Nan,Nan,Nan,Nan
58400362,Rua Veterinário Américo Braga - São José - Campina Grande - PB,-7.226829299999999,-35.8931521
Nan,Nan,Nan,Nan
58400364,Praça do Trabalho - São José - Campina Grande - PB,-7.2241526,-35.8916951
Nan,Nan,Nan,Nan
58400366,Rua Índio Felipe Camarão - São José - Campina Grande - PB,-7.225090799999999,-35.8904775
Nan,Nan,Nan,Nan
58400368,Rua Miguel Vasconcelos - São José - Campina Grande - PB,-7.225104,-35.8897997
Nan,Nan,Nan,Nan
58400370,Rua José do Patrocínio - São José - Campina Grande - PB,-7.226658599999999,-35.8893263
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
58400382,Rua Rosendo Pereira de Lucena - São José - Campina Grande - PB,-7.227159899999999,-35.8898679
Nan,Nan,Nan,Nan
58400384,Rua Aristides Lobo - São José - Campina Grande - PB,-7.2270649,-35.8906595
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
58400394,Rua Jacqueline Ayres Silva - São José - Campina Grande - PB,-7.2253163,-35.891167
Nan,Nan,Nan,Nan
58400396,Rua Doutor Chateaubriand - São José - Campina Grande - PB,-7.226638,-35.8910138
Nan,Nan,Nan,Nan
58400398,Rua Carlos Chagas - São José - Campina Grande - PB,-7.227766899999999,-35.8915
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
58400403,Avenida Jornalista Assis Chateaubriand - São José - Campina Grande - PB,-7.286331199999999,-35.8894251
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
58400414,Rua Dom Pedro I - São José - Campina Grande - PB,-7.225608200000001,-35.8921083
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
58400418,Rua Nilo Peçanha - São José - Campina Grande - PB,-7.225529799999999,-35.89690420000001
Nan,Nan,Nan,Nan
58400420,Rua Castro Pinto - São José - Campina Grande - PB,-7.227470400000001,-35.8966416
Nan,Nan,Nan,Nan
58400422,Rua Delmiro Gouveia - São José - Campina Grande - PB,-7.227470400000001,-35.8966416
Nan,Nan,Nan,Nan
58400424,Rua José Elpídio da Costa Monteiro - São José - Campina Grande - PB,-7.2270236,-35.8958135
Nan,Nan,Nan,Nan
58400426,Rua Zacarias de Souza do Ó - São José - Campina Grande - PB,-7.227730800000001,-35.8954987
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
58400438,Rua Teixeira de Freitas - São José - Campina Grande - PB,-7.2264275,-35.8956656
Nan,Nan,Nan,Nan
58400440,Travessa Nilo Peçanha - São José - Campina Grande - PB,-7.226060299999999,-35.8965741
Nan,Nan,Nan,Nan
58400442,Rua Professor Capiba - São José - Campina Grande - PB,-7.2256898,-35.8959277
Nan,Nan,Nan,Nan
58400444,Rua Doutor Agra - São José - Campina Grande - PB,-7.2252256,-35.8947302
Nan,Nan,Nan,Nan
58400446,Rua Sulpino Colaço - São José - Campina Grande - PB,-7.2257552,-35.8939712
Nan,Nan,Nan,Nan
58400448,Rua Iremar Marinho - São José - Campina Grande - PB,-7.224963600000001,-35.8938776
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
58400453,Rua Siqueira Campos - São José - Campina Grande - PB,-7.223615700000001,-35.8931533
Nan,Nan,Nan,Nan
58400455,Rua Benedito Machado - São José - Campina Grande - PB,-7.225070199999999,-35.892737
Nan,Nan,Nan,Nan
58400457,Travessa Benedito Machado - São José - Campina Grande - PB,-7.224927699999999,-35.8929373
Nan,Nan,Nan,Nan
58400459,Rua Melo Leitão - São José - Campina Grande - PB,-7.2236273,-35.89261219999999
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
58400464,Avenida Marechal Floriano Peixoto - São José - Campina Grande - PB,-7.2238711,-35.8931111
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
58400468,Rua da Independência - São José - Campina Grande - PB,-7.2242924,-35.8955213
Nan,Nan,Nan,Nan
58400470,Rua Antenor Navarro - São José - Campina Grande - PB,-7.2225428,-35.8946123
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
58400480,Rua da Independência - Prata - Campina Grande - PB,-7.2242924,-35.8955213
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
58400483,Rua Oswaldo Cruz - Prata - Campina Grande - PB,-7.224630299999999,-35.8989385
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
58400486,Rua Senador Epitácio Pessoa Cavalcante - Prata - Campina Grande - PB,-7.2235672,-35.8992819
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
58400490,Rua Coronel João da Costa e Silva - Prata - Campina Grande - PB,-7.222946799999999,-35.8989614
Nan,Nan,Nan,Nan
58400492,Rua Marechal Deodoro - Prata - Campina Grande - PB,-7.222952799999999,-35.89623290000001
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
58400500,Rua José de Alencar - Prata - Campina Grande - PB,-7.222197200000001,-35.8960461
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
58400503,Rua Montevideo - Prata - Campina Grande - PB,-7.219526,-35.8981806
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
58400506,Rua Duque de Caxias - Prata - Campina Grande - PB,-7.221014599999999,-35.8973121
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
58400510,Rua João Machado - Prata - Campina Grande - PB,-7.221656500000001,-35.8949649
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
58400515,Rua Nilo Peçanha - Prata - Campina Grande - PB,-7.2201948,-35.8955671
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
